Rank	Player	Land	Days	Score
1	Сандро	Мертвые и похороненные	75	200
2	Астрал	Все за одного	100	190
3	Орис	По колено в трупах	125	180
4	Лорд Хаарт	Зима титана	150	170
5	Аламар	Сфера дракона	175	160
6	Стига	Изумрудные острова	200	150
7	Йог	Хочешь, я убью соседей	250	140
8	Аджит	Поиски Грааля	500	130
9	Иона	Благословение небес	750	120
10	Тазар	Миф и легенда	1000	100
11	Вы	Откройте счет!	2000	1
Rank	Player	Campaign	Days	
1	Фафнер	Хвала отцу	500	1000
2	Гретхен	Да здравствует король	550	875
3	Гундула	Трофеи войны	600	750
4	Дрейкон	Освобождение	650	625
5	Ингэм	Темницы и дьяволы	700	500
6	Тамика	Да здравствует королева	750	375
7	Нимусса	Семена недовольства	800	250
8	Малком	Освобождение	850	225
9	Сорша	Семена недовольства	900	200
10	Зидар	Да здравствует король	1000	175
11	Ваше имя 	Начните кампанию!	2000	1
