Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	Attributes (Reference only, do not change these values)
Копейщик	Копейщики	0	0	0	0	0	0	60	100	80	14	0	10	4	4	5	1	3	0	0	20	50		0
Алебардщик	Алебардщики	0	0	0	0	0	0	75	115	115	14	0	10	5	6	5	2	3	0	0	20	30	Иммунитет к кавалерийскому бонусу.	0
Арбалетчик	Арбалетчики	0	0	0	0	0	0	100	115	126	9	0	10	4	6	3	2	3	12	0	16	30	Стреляют.	SHOOTING_ARMY
Искусный арбалетчик	Искусные арбалетчики	0	0	0	0	0	0	150	115	184	9	0	10	6	6	3	2	3	24	0	16	25	Стреляют дважды.	const_two_attacks | SHOOTING_ARMY
Грифон	Грифоны	0	0	0	0	0	0	200	324	351	7	3	25	6	8	8	3	6	0	0	12	25	Летают. Отвечают на две атаки за раунд.	DOUBLE_WIDE | FLYING_ARMY
Королевский грифон	Королевские грифоны	0	0	0	0	0	0	240	364	448	7	3	25	9	9	9	3	6	0	0	12	20	Летают. Отвечают на все атаки.	DOUBLE_WIDE|FLYING_ARMY
Мечник	Мечники	0	0	0	0	0	0	300	445	445	4	0	35	5	10	12	6	9	0	0	10	20		0
Крестоносец	Крестоносцы	0	0	0	0	0	0	400	588	588	4	0	35	6	12	12	7	10	0	0	10	16	Атакуя, бьют дважды.	const_two_attacks
Монах	Монахи	0	0	0	0	0	0	400	485	485	3	0	30	5	12	7	10	12	12	0	8	16	Стреляют.	SHOOTING_ARMY
Фанатик	Фанатики	0	0	0	0	0	0	450	500	750	3	0	30	7	12	10	10	12	24	0	8	12	Стреляют. Нет штрафа ближнего боя.	SHOOTING_ARMY | const_no_melee_penalty
