	1st Creature Stack			2nd Creature Stack			3rd Creature Stack		
Name	Low	High	Type (reference only)	Low	High	Type (reference only)	Low	High	Type (reference only)
Орин	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Валеска	4	7	LightCrossbowman	4	7	LightCrossbowman	4	7	LightCrossbowman
Эдрик	10	20	Pikeman	2	3	Griffin	2	3	Griffin
Сильвия	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Лорд Хаарт	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Сорша	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Кристиан	10	20	Pikeman	1	1	Ballista	2	3	Griffin
Тирис	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Рион	10	20	Pikeman	1	1	FirstAidTent	2	3	Griffin
Адела	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Катберт	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Аделаида	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Ингэм	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Соня	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Лойнис	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Кейтлина	10	20	Pikeman	4	7	LightCrossbowman	2	3	Griffin
Мефала	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Уфретин	3	5	Dwarf	3	5	Dwarf	3	5	Dwarf
Янова	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Риланд	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Торгрим	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Ивор	12	24	Centaur	3	6	WoodElf	3	6	WoodElf
Клэнси	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Кайри	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Корониус	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Уланд	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Эльшар	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Джем	12	24	Centaur	1	1	FirstAidTent	3	6	WoodElf
Малком	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Мелодия	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Алагар	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Аэрис	12	24	Centaur	3	5	Dwarf	3	6	WoodElf
Пикедрам	3	5	StoneGargoyle	3	5	StoneGargoyle	3	5	StoneGargoyle
Тан	30	40	ApprenticeGremlin	3	5	StoneGargoyle	2	3	IronGolem
Жозефина	30	40	ApprenticeGremlin	2	2	IronGolem	2	3	IronGolem
