Region Name	Campaign Name	Scenario Name	Map Area Name
"{Южный порт}

Королева Катерина покинула страну, чтобы испросить военной помощи у Гэвина Магнуса, короля Бракады. Прочие полководцы прочесывают окрестности. Обоснуйтесь на месте, наберите местное ополчение, разведайте, насколько далеко проникли нигонские захватчики, и определите путь их вторжения."	Good1	G1a	Map Area 1
"{Врата ангела}

Слухи об ангелах близ города Фэр-Фезер требуют проверки. Если они подтвердятся, необходимо будет обеспечить безопасность города и попытаться склонить ангелов к союзу с нами."	Good1	G1b	Map Area 2
"{Утес грифонов}

Объединенные силы нигонцев и криганцев удерживают утес грифонов, где каждый год гнездятся звероптицы со всей Эрафии. Много поколений назад грифоны стали силой, с помощью которой удалось объединить разрозненные земли; сегодня они – ключ к спасению страны."	Good1	G1c	Map Area 3
"{Место битвы}

Первой фазой борьбы за освобождение Эрафии должна стать битва за Стедвик, ее столицу, которая находится в руках нигонских захватчиков. Это будет непросто, так как повелители Подземелий завалили горные перевалы, ведущие в Стедвикскую долину."	Good2	G2a	Map Area 1
"{Эофол}

Королева Катерина получила письмо от лорда Люцифера Кригана III, верховного командующего Эофола. Он утверждает, что взял в плен мужа Катерины, Роланда Айронфиста, короля Энрота, и требует за его жизнь выкуп в один миллион золотых."	Good2	G2b	Map Area 2
"{Болотистая местность и Мост на холме}

Ко двору прибыл посол Бракады с вестью от короля Гэвина Магнуса: Бракада готова предоставить Эрафии военную помощь, чтобы вернуть западные земли, захваченные мародерами Таталии и Крулода. Пора поставить соседей на место."	Good2	G2c	Map Area 3
"{Богатая зернистость и Огненное побережье}

Теперь мы знаем, каким образом Нигону и Эофолу удалось захватить страну. Они буквально прорыли себе путь под Нигонским проливом и вломились в гномьи ходы вдоль берегов Эрафии. Придется заставить их пройти этим путем еще раз – но теперь гнать их будут наши войска! Захватчики должны навсегда покинуть наши земли."	Good2	G2d	Map Area 4
"{Болотистая местность}

Король Тралосск, правитель Таталии, хочет вывести свою страну из болот раз и навсегда. Ему понадобится помощь наемника, и он хочет воспользоваться вашими услугами. Пока Эрафия занята своей войной, самое время расширять границы!"	Neutral1	N1a	Map Area 1
"{Хороший рудник}

Герцог Уинстон Борагус, правитель Крулода, также нуждается в услугах наемника. Он желает, чтобы вы возглавили ряд набегов на земли Эрафии. Надо награбить достаточно золота, чтобы обеспечить крулодскую армию всем необходимым для... других дел."	Neutral1	N1b	Map Area 2
"{Мост на холме}

Теперь ваших услуг ищут и король Таталии Тралосск, и правитель Крулода герцог Уинстон Борагус. Они борются между собой за последний клочок земли, лежащий меж их границами. Ирония в том, что сама по себе земля ничего не стоит. Решайте, кому вы предпочтете служить. Все в ваших руках."	Neutral1	N1c	Map Area 3
"{Небольшой лес}

Некий некромант пытается пробиться к аванпосту эрафийцев. Он везет им доказательства, уличающие убийцу короля Грифонхарта. Пока посланник в безопасности, но нежить, верная новому королю, преграждает ему путь. Вам предстоит сопровождать его на последнем отрезке пути."	Good3	G3a	Map Area 1
"{Изумрудные холмы – Древлепуща}

Вы возглавляете объединенные силы Эрафии, Авлии, Бракады и некромантов, решивших выступить против короля-мертвеца Грифонхарта. Орды нежити сильны, но от вас ждут только победы!"	Good3	G3b	Map Area 2
"{Мраморный сад}

Пришло время последней битвы. Одно наше присутствие вновь наполняет земли жизнью. Остается разгромить последний оплот смерти, куда бежал король Грифонхарт. Пора загнать мертвецов назад в могилы!"	Good3	G3c	Map Area 3
"{Пункт Рион}

Пока Эрафия не успела призвать на помощь Авлию, мы решили поразить эльфов в самое сердце – убить королеву золотых драконов. Если у нас получится устранить таким образом самого сильного союзника эльфов, им будет нечего предложить эрафийцам."	Evil1	E1a	Map Area 1
"{Богатая зернистость}

Большую часть пути к столице Эрафии наши войска преодолеют по подземным тоннелям. Чтобы обеспечить фактор неожиданности, истребляйте всех в каждом селении на своем пути. Используйте разветвленную систему подземных пещер."	Evil1	E1b	Map Area 2
"{Место битвы}

Пора захватить столицу Эрафии, Стедвик. Задача предстоит не из легких: город обороняет мощный гарнизон, способный отбить любого врага. Что еще хуже, армия королевы Катерины уже на пути сюда. Надо успеть захватить Стедвик, пока не подоспело подкрепление!"	Evil1	E1c	Map Area 3
"{Мраморный сад}

Король Грифонхарт, смертный, изгнавший нас из Эрафии, мертв. Вторжение Нигона и Эофола одарило нас целой армией нежити. Наконец-то мы можем собрать достаточно войск, чтобы напасть на Эрафию! Но для этого нам нужен хороший стратег. Разыщите могилу короля Грифонхарта."	Evil2	E2a	Map Area 1
"{Изумрудные холмы}

Мы обнаружили идеальное место у самой границы Эрафии, где можно собрать отличный урожай мертвецов, не привлекая внимания эрафийских войск. Наберите там армию нежити, да побыстрее – мы выступаем в поход."	Evil2	E2b	Map Area 2
