			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	Attributes (reference only, do not change)
																																	
Adventure Spells																																	
																																	
Вызов корабля	Вызов корабля	1	 	x	 	 	8	7	7	7	0	50	50	75	100	3	5	5	5	3	5	5	3	3	10	10	20	20	"{Вызов корабля}

Вызывает существующий невражеский свободный корабль из любой части света.

Вероятность успеха 50%.
"	"{Вызов корабля – ""Базовый"" уровень}

Вызывает существующий невражеский свободный корабль из любой части света.

Вероятность успеха 50%.

Заклинание стоит на 1 очко магии меньше (7 вместо 8), чем обычный ""Вызов корабля"".
"	"{Вызов корабля – ""Продвинутый"" уровень}

Вызывает невражеский свободный корабль из любой части света. Если такого корабля не существует, заклинание создает его.

Вероятность успеха 75%.
"	"{Вызов корабля – ""Экспертный"" уровень}

Вызывает невражеский свободный корабль из любой части света. Если такого корабля не существует, заклинание создает его.
"	 ADV_SPELL
Затопление корабля	Затопление корабля	2	 	x	 	 	8	6	6	6	0	50	50	75	100	6	4	4	4	4	4	4	4	4	1	1	1	1	"{Затопление корабля}

Уничтожает корабль героя. Будьте осторожны при использовании. Заклинание нельзя отменить.

Вероятность успеха 50%.
"	"{Затопление корабля – ""Базовый"" уровень}

Уничтожает корабль героя. Будьте осторожны при использовании. Заклинание нельзя отменить.

Вероятность успеха 50%.

Заклинание стоит на 2 очка магии меньше (6 вместо 8), чем обычное ""Затопление корабля"".
"	"{Затопление корабля – ""Продвинутый"" уровень}

Уничтожает корабль героя. Будьте осторожны при использовании. Заклинание нельзя отменить.

Вероятность успеха 75%.
"	"{Затопление корабля – ""Экспертный"" уровень}

Уничтожает корабль героя. Будьте осторожны при использовании. Заклинание нельзя отменить.
"	 ADV_SPELL
Видение	Видение	2	x	x	x	x	4	2	2	2	0	1	1	2	3	2	2	2	4	2	2	2	2	2	1	1	1	1	"{Видение}

Дает общее представление о типе и количестве существ в вражеском войске героя, города или гарнизона. Сообщает точное количество самостоятельных существ и то, не хотят ли они присоединиться к вашему герою.

Радиус действия равен ""Силе магии"" или трем, если она меньше.

Эффект от заклинания длится 1 ход.
"	"{Видение – ""Базовый"" уровень}

Дает общее представление о типе и количестве существ в вражеском войске героя, города или гарнизона. Сообщает точное количество самостоятельных существ и то, не хотят ли они присоединиться к вашему герою.

Радиус действия равен ""Силе магии"" или трем, если она меньше.

Эффект от заклинания длится 1 ход.

Заклинание стоит на 2 очка магии меньше (2 вместо 4), чем обычное ""Видение"".
"	"{Видение – ""Продвинутый"" уровень}

Дает общее представление о типе и количестве существ в вражеском войске героя, города или гарнизона. Сообщает точное количество самостоятельных существ и то, не хотят ли они присоединиться к вашему герою. Позволяет увидеть значения первичных навыков, очков магии, боевого духа и удачи вражеского героя, а также тип и количество существ в его войске.

Радиус действия равен ""Силе магии"" х 2 или трем, если результат меньше.

Эффект от заклинания длится 1 ход.
"	"{Видение – ""Экспертный"" уровень}

Дает общее представление о типе и количестве существ в вражеском войске героя, города или гарнизона. Сообщает точное количество самостоятельных существ и то, не хотят ли они присоединиться к вашему герою. Позволяет увидеть значения первичных навыков, очков магии, боевого духа и удачи вражеского героя, а также тип и количество существ в его войске. Также позволяет узнать характеристики близлежащего города, количество и вид находящихся в нем войск.

Радиус действия равен ""Силе магии"" х 3.

Эффект от заклинания длится 1 ход.
"	 ADV_SPELL
Земное око	Земное око	1	x				2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Земное око}

Показывает местонахождение всех ресурсов.
"	"{Земное око – ""Базовый"" уровень}

Показывает местонахождение всех ресурсов.

Заклинание стоит на 1 очко магии меньше (1 вместо 2), чем обычное ""Земное око"".
"	"{Земное око – ""Продвинутый"" уровень}

Показывает местонахождение всех ресурсов и шахт.
"	"{Земное око – ""Экспертный"" уровень}

Показывает местонахождение всех ресурсов и шахт, а также карту местности (даже ту, что скрыта завесой тьмы).
"	 ADV_SPELL
Маскировка	Маскировка	2	 	 	 	x	4	2	2	2	0	0	0	0	0	2	2	2	4	2	2	2	0	2	1	1	1	1	"{Маскировка}

Дает ложную информацию вражескому герою, пытающемуся увидеть характеристики вашего героя. Для вражеского героя все отряды вашего героя состоят из самых сильных существ. Численность существ в отрядах выводится без изменений.

Эффект от заклинания длится 1 ход.
"	"{Маскировка – ""Базовый"" уровень}

Дает ложную информацию вражескому герою, пытающемуся увидеть характеристики вашего героя. Для вражеского героя все отряды вашего героя состоят из самых сильных существ. Численность существ в отрядах выводится без изменений.

Эффект от заклинания длится 1 ход.

Заклинание стоит на 2 очка магии меньше (2 вместо 4), чем обычная ""Маскировка"".
"	"{Маскировка – ""Продвинутый"" уровень}

Дает ложную информацию вражескому герою, пытающемуся увидеть характеристики вашего героя. Для вражеского героя все отряды вашего героя состоят из самых сильных существ. Для всех отрядов выводится нулевая численность.

Эффект от заклинания длится 1 ход.
"	"{Маскировка – ""Экспертный"" уровень}

Дает ложную информацию вражескому герою, пытающемуся увидеть характеристики вашего героя. Для вражеского героя все отряды вашего героя состоят из самых сильных существ, принадлежащих родному типу города героя. Для всех отрядов выводится нулевая численность.

Эффект от заклинания длится 1 ход.
"	 ADV_SPELL
Небесное око	Небесное око	1				x	2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Небесное око}

Показывает местоположение всех ничейных артефактов.
"	"{Небесное око – ""Базовый"" уровень}

Показывает местоположение всех ничейных артефактов.

Заклинание стоит на 1 очко магии меньше (1 вместо 2), чем обычное ""Небесное око"".
"	"{Небесное око – ""Продвинутый"" уровень}

Показывает местоположение всех ничейных артефактов и вражеских героев.
"	"{Небесное око – ""Экспертный"" уровень}

Показывает местоположение всех ничейных артефактов, а также вражеских героев и городов.
"	 ADV_SPELL
