	Description		
Name	Basic	Advanced	Expert
Поиск пути	"{Поиск пути – ""Базовый"" уровень}

Увеличивает продолжительность перемещения героя по пересеченной местности (по камням – на 25%, по пескам и снегу – на 20%, по болотам – на 7/6) снижая штраф на 25% (по камням – на 100% (с 125% до 100%), по пескам и снегу – на 50% (с 150% до 125%), по болотам – на 1/3 (с 175% до 150%))."	"{Поиск пути – ""Продвинутый"" уровень}

Увеличивает продолжительность перемещения героя по пересеченной местности (по камням – на 25%, по пескам и снегу – на 50%, по болотам – на 40%) снижая штраф на 50% (по камням – на 100% (с 125% до 100%), по пескам и снегу – на 100% (с 150% до 100%), по болотам – на 2/3 (с 175% до 125%))."	"{Поиск пути – ""Экспертный"" уровень}

Увеличивает продолжительность перемещения героя по пересеченной местности (по камням – на 25%, по пескам и снегу – на 50%, по болотам – на 75%) снижая штраф на 75% (по камням – на 100% (с 125% до 100%), по пескам и снегу – на 100% (с 150% до 100%), по болотам – на 100% (с 175% до 100%))."
Стрельба	"{Стрельба – ""Базовый"" уровень}

Увеличивает базовый урон, наносимый войсками героя при атаке на расстоянии, на 10%."	"{Стрельба – ""Продвинутый"" уровень}

Увеличивает базовый урон, наносимый войсками героя при атаке на расстоянии, на 25%."	"{Стрельба – ""Экспертный"" уровень}

Увеличивает базовый урон, наносимый войсками героя при атаке на расстоянии, на 50%."
Логистика	"{Логистика – ""Базовый"" уровень}

Увеличивает продолжительность перемещения героя по суше на 10% (базовый запас единиц перемещения зависит от скорости самого медленного существа, присутствующего в войске героя на момент начала нового дня)."	"{Логистика – ""Продвинутый"" уровень}

Увеличивает продолжительность перемещения героя по суше на 20% (базовый запас единиц перемещения зависит от скорости самого медленного существа, присутствующего в войске героя на момент начала нового дня)."	"{Логистика – ""Экспертный"" уровень}

Увеличивает продолжительность перемещения героя по суше на 30% (базовый запас единиц перемещения зависит от скорости самого медленного существа, присутствующего в войске героя на момент начала нового дня)."
Разведка	"{Разведка – ""Базовый"" уровень}

Увеличивает дальность обзора героя на карте мира на 1 клетку, позволяя ему снимать завесу тьмы в радиусе 6 клеток вокруг себя (диаметр – 13 клеток)."	"{Разведка – ""Продвинутый"" уровень}

Увеличивает дальность обзора героя на карте мира на 2 клетки, позволяя ему снимать завесу тьмы в радиусе 7 клеток вокруг себя (диаметр – 15 клеток)."	"{Разведка – ""Экспертный"" уровень}

Увеличивает дальность обзора героя на карте мира на 3 клетки, позволяя ему снимать завесу тьмы в радиусе 8 клеток вокруг себя (диаметр – 17 клеток)."
Дипломатия	"{Дипломатия – ""Базовый"" уровень}

Позволяет вести переговоры с отрядами, которые слабее войска героя, и повышает вероятность на присоединение или наем существ, обычно готовых сбежать, на 10%.

Снижает плату за сохранения войска при сдаче героя противнику на 20%.

Дает возможность герою посетить "Библиотеку просвещения", достигнув 8-го уровня."	"{Дипломатия – ""Продвинутый"" уровень}

Позволяет вести переговоры с отрядами, которые слабее войска героя, и повышает вероятность на присоединение или наем существ, обычно готовых сбежать, на 20%.

Снижает плату за сохранения войска при сдаче героя противнику на 40%.

Дает возможность герою посетить "Библиотеку просвещения", достигнув 6-го уровня."	"{Дипломатия – ""Экспертный"" уровень}

Позволяет вести переговоры с отрядами, которые слабее войска героя, и повышает вероятность на присоединение или наем существ, обычно готовых сбежать, на 30%.

Снижает плату за сохранения войска при сдаче героя противнику на 60%.

Дает возможность герою посетить "Библиотеку просвещения", достигнув 4-го уровня."
Навигация	"{Навигация – ""Базовый"" уровень}

Увеличивает продолжительность перемещения героя по воде на 50% (от 2250 единиц перемещения)."	"{Навигация – ""Продвинутый"" уровень}

Увеличивает продолжительность перемещения героя по воде на 100% (от 3000 единиц перемещения)."	"{Навигация – ""Экспертный"" уровень}

Увеличивает продолжительность перемещения героя по воде на 150% (от 3750 единиц перемещения)."
Лидерство	"{Лидерство – ""Базовый"" уровень}

Повышает боевой дух войск героя на 1 единицу, давая им шанс на совершение повторных ходов.

При отсутствие прочих модификаторов вероятность срабатывания боевого духа составляет в среднем 4,17% на каждый ход любого из отрядов героя."	"{Лидерство – ""Продвинутый"" уровень}

Повышает боевой дух войск героя на 2 единицы, давая им шанс на совершение повторных ходов.

При отсутствие прочих модификаторов вероятность срабатывания боевого духа составляет в среднем 8,33% на каждый ход любого из отрядов героя."	"{Лидерство – ""Экспертный"" уровень}

Повышает боевой дух войск героя на 3 единицы, давая им шанс на совершение повторных ходов.

При отсутствие прочих модификаторов вероятность срабатывания боевого духа составляет в среднем 12,5% на каждый ход любого из отрядов героя."
Мудрость	"{Мудрость – ""Базовый"" уровень}

Позволяет герою изучать заклинания до 3-го уровня включительно."	"{Мудрость – ""Продвинутый"" уровень}

Позволяет герою изучать заклинания до 4-го уровня включительно."	"{Мудрость – ""Экспертный"" уровень}

Позволяет герою изучать заклинания до 5-го уровня включительно."
Мистицизм	"{Мистицизм – ""Базовый"" уровень}

Позволяет герою ежедневно восстанавливать 2 очка магии."	"{Мистицизм – ""Продвинутый"" уровень}

Позволяет герою ежедневно восстанавливать 3 очка магии."	"{Мистицизм – ""Экспертный"" уровень}

Позволяет герою ежедневно восстанавливать 4 очка магии."
